Name,Team,Level,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PlayerId
"Dakota Harris","STL","A+,AA",22,97,338,374,91,64,18,0,9,45,47,18,1,76,9,2,5,5,7,5,0.269230769,"sa3022431"
"Brock Rodden","SEA","A+,AA",24,131,498,576,128,82,27,5,14,74,64,60,1,131,9,7,2,4,29,11,0.257028112,"sa3022432"
"Brayden Jobert","STL","A,A+",23,98,314,381,62,42,11,2,7,42,39,46,0,102,15,5,0,3,15,4,0.197452229,"sa3022434"
"Caleb Ketchup","LAA","A+,AA,AAA",22,130,462,540,96,63,22,4,7,75,43,65,0,148,5,5,2,3,65,11,0.207792207,"sa3022436"
"Ben Williamson","SEA","A+,AA",23,124,467,541,132,91,34,3,4,66,64,59,0,118,12,3,0,6,19,6,0.282655246,"sa3022437"
"Kade Kretzschmar","STL","A,A+",24,88,299,356,78,61,11,4,2,43,35,43,0,68,9,4,1,5,7,3,0.260869565,"sa3022438"
"Joe Redfield","LAA","A,A+",22,113,451,516,118,92,15,6,5,75,53,47,1,95,5,3,10,5,30,7,0.261640798,"sa3022439"
"Trey Paige","STL","A,A+",23,90,341,395,89,64,18,5,2,54,32,47,0,97,2,2,2,6,6,2,0.260997067,"sa3022440"
"Jared Sundstrom","SEA","A+",23,112,415,499,109,66,28,2,13,72,63,71,0,117,9,3,0,3,26,6,0.262650602,"sa3022442"
"Alcides Hernandez","SDP","DSL",19,42,115,153,29,24,4,1,0,23,15,32,0,19,5,1,0,2,8,2,0.252173913,"sa3022446"
"Homer Bush Jr.","SDP","A+",22,114,397,462,108,86,14,2,6,68,30,43,0,87,15,2,3,2,57,12,0.272040302,"sa3022480"
"Jay Beshears","MIA","A,A+,AA",22,115,411,483,98,65,29,0,4,62,36,56,1,92,9,6,0,9,6,5,0.238442822,"sa3022485"
"Yimy Tovar","SDP","DSL",18,49,148,195,34,20,10,3,1,33,28,36,0,28,9,2,0,1,14,5,0.229729729,"sa3022486"
"Charlie Pagliarini","SEA","A",23,105,362,450,84,38,30,3,13,76,59,73,0,171,13,2,0,5,6,1,0.232044198,"sa3022487"
"Johnny Olmstead","MIA","A,A+,AA",23,126,455,514,114,74,22,4,14,70,61,40,0,95,11,6,2,5,13,4,0.25054945,"sa3022494"
"Drew Compton","ATL","A,A+",23,110,391,464,113,80,25,0,8,43,62,60,1,80,10,3,0,10,6,1,0.289002557,"sa3022495"
"Jordan Thompson","LAD","A,A+",22,103,356,415,85,47,25,0,13,57,58,44,0,110,10,3,2,14,18,6,0.238764044,"sa3022497"
"Jacob Gonzalez","CHW","A+,AA",22,130,508,572,121,85,27,1,8,58,57,47,0,74,7,8,2,5,17,6,0.238188976,"sa3022498"
"Brock Wilken","MIL","AA,CPX",22,109,405,475,81,48,16,0,17,58,51,63,0,133,5,2,0,10,1,0,0.2,"sa3022499"
"Sabin Ceballos","ATL","A+",21,116,450,517,121,80,30,1,10,79,60,52,0,104,11,4,0,7,9,6,0.268888888,"sa3022500"
"Eddie Park","CHW","A,A+",22,89,326,378,81,72,7,1,1,39,30,50,0,54,1,1,0,9,14,4,0.248466257,"sa3022502"
"Jace Grady","ATL","A,A+",23,100,365,424,85,62,13,2,8,45,47,51,0,71,3,5,0,6,14,6,0.232876712,"sa3022505"
"Kade Kern","ATL","A,A+",22,94,320,355,61,43,10,2,6,32,31,27,0,106,5,3,0,13,17,8,0.190625,"sa3022508"
"John Wimmer","LAA","CPX",19,49,142,177,28,20,5,2,1,19,13,30,1,60,5,0,0,2,5,0,0.197183098,"sa3022509"
"Will Verdung","ATL","A",21,106,362,437,78,60,16,0,2,37,37,64,1,90,8,3,0,11,17,5,0.215469613,"sa3022512"
"Luke Mann","OAK","A,A+",24,118,445,507,109,72,18,3,16,54,57,47,0,124,11,3,0,6,3,0,0.24494382,"sa3022529"
